Itemid,Description,Price
1000,Dawn Professionl Pot And Pan,83
1001,Bagelers,72
1002,Knife Plastic - White,79
1003,Creamers - 10%,72
1004,Chips - Doritos,24
1005,Soup Campbells Mexicali Tortilla,85
1006,Pepper - Cayenne,52
1007,Container - Clear 32 Oz,96
1008,Pastry - Banana Muffin - Mini,86
1009,Cookie - Oreo 100x2,38
1010,Oil - Cooking Spray,51
1011,Mousse - Mango,17
1012,Steam Pan Full Lid,96
1013,"Tortillas - Flour, 10",76
1014,Cookie Chocolate Chip With,43
1015,Soup Campbells - Tomato Bisque,7
1016,Nantucket - Carrot Orange,29
1017,Cocktail Napkin Blue,48
1018,Nut - Macadamia,97
1019,Toamtoes 6x7 Select,38
1020,Appetizer - Escargot Puff,89
1021,Quiche Assorted,10
1022,"Beef - Rib Roast, Cap On",59
1023,Passion Fruit,37
1024,Wine - Spumante Bambino White,43
1025,Nantucket - Pomegranate Pear,75
1026,Garbage Bags - Black,48
1027,Beef - Ox Tongue,89
1028,Bread Base - Toscano,17
1029,Bamboo Shoots - Sliced,12
1030,Yogurt - Plain,92
1031,Dried Peach,28
1032,Ice Cream - Chocolate,78
1033,Sausage - Liver,43
1034,Garbage Bags - Black,47
1035,Cheese - Asiago,23
1036,Milk - 2%,91
1037,True - Vue Containers,63
1038,Containter - 3oz Microwave Rect.,51
1039,Wasabi Paste,7
1040,"Water - Mineral, Natural",40
1041,"Water, Tap",78
1042,Cream Of Tartar,4
1043,Yucca,67
1044,"Tendrils - Baby Pea, Organic",4
1045,Chicken - Whole Roasting,97
1046,Mussels - Frozen,70
1047,Wine - Beaujolais Villages,29
1048,Nori Sea Weed,36
1049,"Nut - Almond, Blanched, Sliced",26
1050,Eggroll,45
1051,Muffin Hinge - 211n,48
1052,Artichoke - Fresh,100
1053,"Beef - Ox Tail, Frozen",80
1054,Burger Veggie,74
1055,Sloe Gin - Mcguinness,42
1056,Madeira,23
1057,"Soup - Campbells, Beef Barley",72
1058,Langers - Cranberry Cocktail,88
1059,Sprouts - Alfalfa,37
1060,Wine - Hardys Bankside Shiraz,61
1061,Soup Campbells,55
1062,Bread - Petit Baguette,85
1063,Tea - Decaf 1 Cup,82
1064,V8 Pet,48
1065,Muffin Mix - Chocolate Chip,52
1066,"Nut - Pistachio, Shelled",50
1067,Mangostein,32
1068,Jolt Cola - Red Eye,31
1069,Lettuce - Escarole,18
1070,"Wine - Red, Marechal Foch",28
1071,Beer - Original Organic Lager,4
1072,Puff Pastry - Slab,9
1073,"Tart Shells - Savory, 3",41
1074,Tea - Decaf Lipton,36
1075,"Cheese - Cheddar, Old White",45
1076,"Mushroom - Trumpet, Dry",93
1077,Swiss Chard - Red,79
1078,Sobe - Berry Energy,93
1079,Laundry - Bag Cloth,34
1080,Evaporated Milk - Skim,47
1081,Wine - Peller Estates Late,42
1082,Lamb Tenderloin Nz Fr,14
1083,Rappini - Andy Boy,86
1084,Pork - Kidney,45
1085,Rice - Wild,30
1086,Pastry - Cherry Danish - Mini,44
1087,Bread - Calabrese Baguette,71
1088,Rice - Brown,100
1089,Soho Lychee Liqueur,59
1090,Yukon Jack,27
1091,Bacardi Mojito,64
1092,Soup Bowl Clear 8oz92008,27
1093,"Shrimp, Dried, Small / Lb",30
1094,Barley - Pearl,33
1095,"Wine - Red, Gamay Noir",10
1096,"Doilies - 7, Paper",27
1097,Corn Shoots,33
1098,Vinegar - Tarragon,50
1099,"Carrots - Mini, Stem On",34
1100,Meldea Green Tea Liquor,51
1101,Laundry - Bag Cloth,85
1102,Jameson Irish Whiskey,12
1103,Wine - Magnotta - Pinot Gris Sr,62
1104,"Wine - White, Riesling, Henry Of",23
1105,Oil - Pumpkinseed,21
1106,"Juice - Tomato, 10 Oz",33
1107,Pastry - Raisin Muffin - Mini,89
1108,Dawn Professionl Pot And Pan,62
1109,Wine - Savigny - Les - Beaune,11
1110,Cheese - Parmigiano Reggiano,59
1111,Marzipan 50/50,94
1112,"Wine - Red, Mouton Cadet",90
1113,Calypso - Lemonade,75
1114,Extract - Raspberry,74
1115,Sauce Bbq Smokey,100
1116,Huck White Towels,62
1117,Cod - Fillets,64
1118,Beans - Fava Fresh,61
1119,"Wine - Harrow Estates, Vidal",37
1120,Muffin Orange Individual,40
1121,Table Cloth 62x120 Colour,25
1122,Scallops - U - 10,53
1123,Bacon Strip Precooked,2
1124,Basil - Thai,11
1125,Squid - Tubes / Tenticles 10/20,50
1126,Petit Baguette,8
1127,Carbonated Water - Peach,87
1128,"Pepper - Chipotle, Canned",60
1129,"Pasta - Penne Primavera, Single",98
1130,Wine La Vielle Ferme Cote Du,88
1131,Potatoes - Idaho 100 Count,31
1132,"Cheese - Brie, Triple Creme",88
1133,Calaloo,26
1134,Tea - Herbal Orange Spice,41
1135,Chips Potato Swt Chilli Sour,33
1136,"Appetizer - Spring Roll, Veg",96
1137,Wine - Chianti Classico Riserva,8
1138,Flax Seed,69
1139,Pernod,46
1140,"Juice - Pineapple, 48 Oz",63
1141,French Pastries,57
1142,Fork - Plastic,74
1143,"Wine - White, Riesling, Henry Of",34
1144,Compound - Mocha,5
1145,Pork - European Side Bacon,17
1146,Wine - Rubyport,71
1147,Island Oasis - Lemonade,37
1148,Spice - Chili Powder Mexican,75
1149,Pepper - Chilli Seeds Mild,31
1150,"Bread - Rolls, Rye",72
1151,Rice - Aborio,85
1152,Calypso - Lemonade,69
1153,Rosemary - Dry,87
1154,Tea - Decaf Lipton,95
1155,Vinegar - Sherry,92
1156,"Chocolate - Milk, Callets",96
1157,Container - Foam Dixie 12 Oz,92
1158,"Turkey - Breast, Double",42
1159,Wine - Barossa Valley Estate,6
1160,Danishes - Mini Cheese,92
1161,Scallops - Live In Shell,68
1162,Beets - Mini Golden,68
1163,Truffle Paste,37
1164,Lamb Shoulder Boneless Nz,65
1165,Truffle Shells - Semi - Sweet,13
1166,"Napkin - Cocktail,beige 2 - Ply",29
1167,Puree - Pear,1
1168,Muffin Mix - Corn Harvest,43
1169,Beer - Fruli,49
1170,Leeks - Large,20
1171,Bacardi Limon,90
1172,Sea Urchin,30
1173,Rabbit - Saddles,20
1174,"Soup - Beef, Base Mix",76
1175,Mushroom - Portebello,68
1176,Cheese - Bocconcini,63
1177,"Lid - 10,12,16 Oz",30
1178,Beef - Top Butt,4
1179,Cake - Miini Cheesecake Cherry,70
1180,Cheese - Cottage Cheese,87
1181,"Yogurt - Raspberry, 175 Gr",73
1182,Mix - Cappucino Cocktail,67
1183,Wine - Rosso Del Veronese Igt,48
1184,"Brownies - Two Bite, Chocolate",52
1185,Vinegar - Red Wine,85
1186,Wine - Mondavi Coastal Private,57
1187,Graham Cracker Mix,15
1188,Wine - Pinot Noir Mondavi Coastal,67
1189,Ecolab Silver Fusion,21
1190,Wine - Tribal Sauvignon,78
1191,Tea - Camomele,52
1192,Oneshot Automatic Soap System,61
1193,Fenngreek Seed,58
1194,Pastry - Cheese Baked Scones,2
1195,Cup - 4oz Translucent,7
1196,Cake - French Pear Tart,53
1197,"Iced Tea - Lemon, 340ml",19
1198,Spinach - Baby,60
1199,Wine - Malbec Trapiche Reserve,94
1200,Icecream - Dstk Super Cone,84
1201,Goat - Leg,92
1202,Lamb Rack - Ontario,43
1203,Duck - Whole,31
1204,"Nut - Cashews, Whole, Raw",56
1205,"Ham - Smoked, Bone - In",21
1206,"Pepper - Chillies, Crushed",9
1207,Oats Large Flake,51
1208,"Wine - Red, Cooking",61
1209,Soho Lychee Liqueur,92
1210,Tart - Raisin And Pecan,72
1211,Ginger - Fresh,47
1212,Tea - Green,49
1213,Bread - Frozen Basket Variety,98
1214,Puree - Mango,57
1215,Flour - Strong Pizza,32
1216,Container - Clear 16 Oz,92
1217,Cloves - Ground,59
1218,Foil Cont Round,12
1219,Table Cloth 81x81 White,89
1220,Ice Cream - Turtles Stick Bar,4
1221,Hagen Daza - Dk Choocolate,53
1222,Pecan Raisin - Tarts,88
1223,Cod - Fillets,12
1224,Ice Cream - Super Sandwich,7
1225,Wine - Riesling Dr. Pauly,3
1226,Cheese Cloth,66
1227,Wine - Fat Bastard Merlot,20
1228,"Juice - Tomato, 10 Oz",32
1229,"Pasta - Fett Alfredo, Single Serve",5
1230,Goulash Seasoning,66
1231,Bread Ww Cluster,48
1232,Schnappes Peppermint - Walker,14
1233,Ecolab - Hand Soap Form Antibac,37
1234,"Pasta - Rotini, Dry",9
1235,Trueblue - Blueberry 12x473ml,96
1236,Tea Peppermint,83
1237,V8 Splash Strawberry Kiwi,26
1238,Puree - Mocha,89
1239,"Soup - Campbells, Butternut",45
1240,Jolt Cola - Red Eye,36
1241,Broom - Push,99
1242,Tofu - Firm,80
